turma,unidade
0A,Centro
0B,Centro
0C,Centro
0D,Centro
0E,Centro
0F,Filipinho
0G,Filipinho
0H,Filipinho
0I,Filipinho
0J,Filipinho
0K,Cipó
0L,Cipó
0M,Cipó
0N,Cipó
0O,Cipó
0Q,Granjinha
0R,Granjinha
0S,Granjinha
0T,Centro
0U,Cipó
0Y,Centro
1A,Centro
1B,Centro
1C,Centro
1D,Centro
1E,Centro
1F,Filipinho
1G,Filipinho
1H,Filipinho
1J,Filipinho
1K,Cipó
1L,Cipó
1M,Cipó
1N,Cipó
1P,Granjinha
1R,Granjinha
2A,Centro
2B,Centro
2B,Centro
2C,Centro
2D,Centro
2G,Filipinho
2H,Filipinho
2I,Filipinho
2K,Cipó
2L,Cipó
2M,Cipó
2N,Cipó
2P,Granjinha
2R,Granjinha
2U,Cipó
3A,Centro
3B,Centro
3C,Centro
3D,Centro
3F,Filipinho
3G,Filipinho
3H,Filipinho
3I,Filipinho
3K,Cipó
3L,Cipó
3M,Cipó
3N,Cipó
3P,Granjinha
3R,Granjinha
3U,Cipó
4A,Centro
4B,Centro
4C,Centro
4F,Filipinho
4G,Filipinho
4H,Filipinho
4L,Cipó
4M,Cipó
4N,Cipó
4R,Granjinha
5A,Centro
5B,Centro
5C,Centro
5D,Centro
5F,Filipinho
5G,Filipinho
5L,Cipó
5M,Cipó
5N,Cipó
6A,Centro
6L,Cipó
7A,Centro
0V,Felipinho
0Z,Felipinho
1U,Cipó
2F,Felipinho
2J,Felipinho
2Q,Granjinha
3E,Centro
4P,Granjinha
5K,Cipó
7D,Centro
2E,
0P,
3J,
4E,
5X,
6B,
6C,
7B,
8A,